Date,Open,High,Low,Close,Volume,Dividends
2019-12-20,27.35,27.53,26.68,27.04,221290500,0
2019-12-23,27.45,28.13,27.33,27.95,199794000,0
2019-12-24,27.89,28.36,27.51,28.35,120820500,0
2019-12-26,28.53,28.9,28.42,28.73,159508500,0
2019-12-27,29.0,29.02,28.41,28.69,149185500,0
2019-12-30,28.59,28.6,27.28,27.65,188796000,0
2019-12-31,27.0,28.09,26.81,27.89,154285500,0
2020-01-02,28.3,28.71,28.11,28.68,142981500,0
2020-01-03,29.37,30.27,29.13,29.53,266677500,0
2020-01-06,29.36,30.1,29.33,30.1,151995000,0
2020-01-07,30.76,31.44,30.22,31.27,268231500,0
2020-01-08,31.58,33.23,31.22,32.81,467164500,0
2020-01-09,33.14,33.25,31.52,32.09,426606000,0
2020-01-10,32.12,32.33,31.58,31.88,194392500,0
2020-01-13,32.9,35.04,32.8,34.99,397764000,0
2020-01-14,36.28,36.49,34.99,35.86,434943000,0
2020-01-15,35.32,35.86,34.45,34.57,260532000,0
2020-01-16,32.92,34.3,32.81,34.23,326050500,0
2020-01-17,33.84,34.38,33.54,34.03,204436500,0
2020-01-21,35.35,36.57,35.23,36.48,267052500,0
2020-01-22,38.13,39.63,37.27,37.97,470535000,0
2020-01-23,37.62,38.8,37.04,38.15,294765000,0
2020-01-24,38.04,38.26,36.95,37.65,215304000,0
2020-01-27,36.13,37.63,35.95,37.2,204121500,0
2020-01-28,37.9,38.45,37.21,37.79,176827500,0
2020-01-29,38.38,39.32,37.83,38.73,267022500,0
2020-01-30,42.16,43.39,41.2,42.72,435085500,0
2020-01-31,42.67,43.53,42.17,43.37,235789500,0
2020-02-03,44.91,52.41,44.9,52.0,705975000,0
2020-02-04,58.86,64.6,55.59,59.14,914082000,0
2020-02-05,54.88,56.4,46.94,48.98,726357000,0
2020-02-06,46.66,53.06,45.8,49.93,598212000,0
2020-02-07,48.7,51.32,48.67,49.87,255952500,0
2020-02-10,53.33,54.67,50.16,51.42,370338000,0
2020-02-11,51.25,52.23,50.53,51.63,175462500,0
2020-02-12,51.86,52.65,50.89,51.15,180337500,0
2020-02-13,49.46,54.53,49.0,53.6,394339500,0
2020-02-14,52.48,54.2,52.37,53.34,235405500,0
2020-02-18,56.11,57.33,55.49,57.23,245725500,0
2020-02-19,61.57,62.99,60.07,61.16,381345000,0
2020-02-20,60.8,60.8,57.33,59.96,264523500,0
2020-02-21,60.47,60.87,58.7,60.07,214722000,0
2020-02-24,55.93,57.57,54.81,55.59,227883000,0
2020-02-25,56.6,57.11,52.47,53.33,259357500,0
2020-02-26,52.17,54.22,51.74,51.92,211282500,0
2020-02-27,48.67,49.32,44.6,45.27,364158000,0
2020-02-28,41.98,46.03,40.77,44.53,363343500,0
2020-03-02,47.42,49.58,45.78,49.57,302925000,0
2020-03-03,53.67,53.8,47.74,49.7,386760000,0
2020-03-04,50.93,51.1,48.32,49.97,225735000,0
2020-03-05,48.25,49.72,47.87,48.3,162790500,0
2020-03-06,46.0,47.13,45.62,46.9,189943500,0
2020-03-09,40.36,44.2,40.33,40.53,256105500,0
2020-03-10,43.96,44.53,40.53,43.02,233916000,0
2020-03-11,42.68,43.57,40.87,42.28,199837500,0
2020-03-12,38.73,39.63,36.42,37.37,283636500,0
2020-03-13,39.67,40.5,33.47,36.44,339604500,0
2020-03-16,31.3,32.99,29.48,29.67,307342500,0
2020-03-17,29.33,31.46,26.4,28.68,359919000,0
2020-03-18,25.93,26.99,23.37,24.08,356793000,0
2020-03-19,24.98,30.13,23.9,28.51,452932500,0
2020-03-20,29.21,31.8,28.39,28.5,424282500,0
2020-03-23,28.91,29.47,27.37,28.95,246817500,0
2020-03-24,31.82,34.25,31.6,33.67,343428000,0
2020-03-25,36.35,37.13,34.07,35.95,318340500,0
2020-03-26,36.49,37.33,34.15,35.21,260710500,0
2020-03-27,33.67,35.05,32.94,34.29,215661000,0
2020-03-30,34.02,34.44,32.75,33.48,179971500,0
2020-03-31,33.42,36.2,33.13,34.93,266572500,0
2020-04-01,33.6,34.26,31.67,32.1,200298000,0
2020-04-02,32.07,32.95,29.76,30.3,297876000,0
2020-04-03,33.97,34.37,31.23,32.0,338431500,0
2020-04-06,34.08,34.73,33.2,34.42,223527000,0
2020-04-07,36.33,37.67,35.49,36.36,268797000,0
2020-04-08,36.95,37.15,35.56,36.59,189840000,0
2020-04-09,37.47,38.35,37.14,38.2,204750000,0
2020-04-13,39.34,43.47,38.7,43.4,337131000,0
2020-04-14,46.6,49.46,46.16,47.33,458647500,0
2020-04-15,49.47,50.21,47.33,48.66,353655000,0
2020-04-16,47.8,50.63,47.11,49.68,309868500,0
2020-04-17,51.49,51.66,49.84,50.26,196923000,0
2020-04-20,48.85,51.04,47.48,49.76,221199000,0
2020-04-21,48.67,50.22,44.92,45.78,303136500,0
2020-04-22,46.93,48.93,45.91,48.81,212482500,0
2020-04-23,48.51,48.93,46.88,47.04,198550500,0
2020-04-24,47.39,48.72,46.55,48.34,198180000,0
2020-04-27,49.17,53.3,49.0,53.25,310221000,0
2020-04-28,53.04,53.67,50.45,51.27,228330000,0
2020-04-29,52.68,53.55,52.21,53.37,243240000,0
2020-04-30,57.01,57.99,50.9,52.13,427078500,0
2020-05-01,50.33,51.52,45.54,46.75,487977000,0
2020-05-04,46.73,50.8,46.53,50.75,288556500,0
2020-05-05,52.65,53.26,50.81,51.21,254875500,0
2020-05-06,51.77,52.65,50.74,52.17,166848000,0
2020-05-07,51.81,53.09,51.49,52.0,172915500,0
2020-05-08,52.92,54.93,52.47,54.63,241297500,0
2020-05-11,52.7,54.93,52.33,54.09,247794000,0
2020-05-12,55.13,56.22,53.87,53.96,238603500,0
2020-05-13,54.72,55.07,50.89,52.73,285982500,0
2020-05-14,52.0,53.56,50.93,53.56,205233000,0
2020-05-15,52.69,53.67,52.44,53.28,157776000,0
2020-05-18,55.19,55.65,53.59,54.24,174987000,0
2020-05-19,54.34,54.8,53.74,53.87,144547500,0
2020-05-20,54.7,55.07,54.12,54.37,109639500,0
2020-05-21,54.4,55.5,53.07,55.17,183819000,0
2020-05-22,54.81,55.45,54.13,54.46,149812500,0
2020-05-26,55.63,55.64,54.38,54.59,121345500,0
2020-05-27,54.72,55.18,52.33,54.68,173242500,0
2020-05-28,54.23,54.98,53.45,53.72,108834000,0
2020-05-29,53.92,55.67,53.61,55.67,176467500,0
2020-06-01,57.2,59.93,56.94,59.87,224092500,0
2020-06-02,59.65,60.58,58.07,58.77,203484000,0
2020-06-03,59.21,59.86,58.67,58.86,119242500,0
2020-06-04,59.33,59.72,57.23,57.63,133315500,0
2020-06-05,58.52,59.1,57.75,59.04,117178500,0
2020-06-08,61.27,63.33,60.61,63.33,212620500,0
2020-06-09,62.67,63.63,61.6,62.71,170823000,0
2020-06-10,66.13,68.5,65.5,68.34,278451000,0
2020-06-11,66.01,67.93,64.8,64.86,238747500,0
2020-06-12,65.33,65.87,60.84,62.35,251451000,0
2020-06-15,61.19,66.59,60.57,66.06,235458000,0
2020-06-16,67.46,67.53,64.16,65.48,210766500,0
2020-06-17,65.85,67.0,65.5,66.12,148362000,0
2020-06-18,66.87,67.95,66.3,66.93,146278500,0
2020-06-19,67.52,67.73,66.09,66.73,130195500,0
2020-06-22,66.66,67.26,66.0,66.29,95436000,0
2020-06-23,66.59,67.47,66.27,66.79,95479500,0
2020-06-24,66.27,66.73,63.54,64.06,164394000,0
2020-06-25,63.62,65.73,62.48,65.73,138817500,0
2020-06-26,66.32,66.33,63.66,63.98,132823500,0
2020-06-29,64.6,67.33,63.23,67.29,135396000,0
2020-06-30,67.1,72.51,66.92,71.99,253777500,0
2020-07-01,72.2,75.69,72.03,74.64,199903500,0
2020-07-02,81.43,81.87,79.04,80.58,258751500,0
2020-07-06,85.11,91.85,84.4,91.44,308548500,0
2020-07-07,93.67,95.3,89.11,92.66,322345500,0
2020-07-08,93.67,94.48,87.42,91.06,244669500,0
2020-07-09,93.13,93.9,90.09,92.95,175764000,0
2020-07-10,93.07,103.26,91.73,102.98,350064000,0
2020-07-13,110.6,119.67,98.07,99.8,584781000,0
2020-07-14,103.73,106.0,95.4,101.12,351271500,0
2020-07-15,102.87,103.33,97.13,103.07,245517000,0
2020-07-16,98.48,102.11,97.73,100.04,214512000,0
2020-07-17,100.9,102.5,99.33,100.06,139950000,0
