 Historical Data - End of Day LEUMI,,,,,,,,,,,,,,,,,,
 From 20/12/2019 To 19/12/2024
Date,Adjusted Closing Price,Type of Adjusted Price,Closing Price (0.01 NIS),Change (%),Opening Price,Base Price,High Price,Low Price,Capital Listed for Trading,Market Cap (NIS thousands),Turnover(NIS),Volume,Transactions,Ex Ttype,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate,Last IANS Update
19/12/2024,4250.0000,Closing Price,4250.0000,0.38,4200.0000,4234.0000,4263.0000,4200.0000,1504899026,63958209,164466747,3880305,6614,,,1507771335,100.00,10/11/2024
18/12/2024,4234.0000,Closing Price,4234.0000,-0.45,4258.0000,4253.0000,4282.0000,4221.0000,1505075331,63724890,121349263,2857734,5903,,,1507771335,100.00,10/11/2024
17/12/2024,4253.0000,Closing Price,4253.0000,-1.35,4298.0000,4311.0000,4312.0000,4246.0000,1505250519,64018305,157083947,3675881,7690,,,1507771335,100.00,10/11/2024
16/12/2024,4311.0000,Closing Price,4311.0000,1.41,4244.0000,4251.0000,4313.0000,4226.0000,1505425820,64898907,144070992,3360999,7800,,,1507771335,100.00,10/11/2024
15/12/2024,4251.0000,Closing Price,4251.0000,-0.33,4232.0000,4265.0000,4274.0000,4191.0000,1505496506,63998656,53058308,1253525,2646,,,1507771335,100.00,10/11/2024
12/12/2024,4265.0000,Closing Price,4265.0000,-0.86,4327.0000,4302.0000,4337.0000,4233.0000,1505662746,64216516,111667353,2610481,6326,,,1507771335,100.00,10/11/2024
11/12/2024,4302.0000,Closing Price,4302.0000,-1.06,4338.0000,4348.0000,4374.0000,4275.0000,1505836580,64781090,97069146,2253506,5113,,,1507771335,100.00,10/11/2024
10/12/2024,4348.0000,Closing Price,4348.0000,-0.93,4379.0000,4389.0000,4396.0000,4323.0000,1505951375,65478766,105307303,2418720,5920,,,1507771335,100.00,10/11/2024
09/12/2024,4389.0000,Closing Price,4389.0000,0.18,4381.0000,4381.0000,4389.0000,4338.0000,1506057590,66100868,147189475,3372394,5757,,,1507771335,100.00,10/11/2024
08/12/2024,4381.0000,Closing Price,4381.0000,1.39,4330.0000,4321.0000,4398.0000,4330.0000,1506126168,65983387,58380223,1335465,3387,,,1507771335,100.00,10/11/2024
05/12/2024,4321.0000,Closing Price,4321.0000,0.86,4280.0000,4284.0000,4325.0000,4280.0000,1506282518,65086468,89584658,2080934,4019,,,1507771335,100.00,10/11/2024
04/12/2024,4284.0000,Closing Price,4284.0000,-0.79,4329.0000,4318.0000,4350.0000,4284.0000,1506456344,64536590,115823440,2688145,8299,,,1507771335,100.00,10/11/2024
03/12/2024,4318.0000,Closing Price,4318.0000,1.53,4249.0000,4253.0000,4331.0000,4244.0000,1506597175,65054866,141104069,3278906,6720,,,1507771335,100.00,10/11/2024
02/12/2024,4253.0000,Closing Price,4253.0000,0.31,4240.0000,4240.0000,4260.0000,4204.0000,1506774387,64083115,105689568,2494245,7821,,,1507771335,100.00,10/11/2024
01/12/2024,4240.0000,Closing Price,4240.0000,2.66,4122.0000,4130.0000,4240.0000,4122.0000,1506846087,63890274,55616455,1328584,2670,,,1507771335,100.00,10/11/2024
28/11/2024,4130.0000,Closing Price,4130.0000,-0.63,4083.0000,4156.0000,4156.0000,4083.0000,1507027908,62240253,617899749,15105082,6116,,,1507771335,100.00,10/11/2024
27/11/2024,4156.0000,Closing Price,4156.0000,-2.10,4251.0000,4245.0000,4255.0000,4145.0000,1507147395,62637046,173664474,4160201,7009,EX DIVIDEND,0.98928,1507771335,100.00,10/11/2024
26/11/2024,4245.0005,Closing Price,4291.0000,1.56,4235.0000,4225.0000,4291.0000,4226.0000,1507264844,64676734,449088836,10536587,4870,,,1507771335,100.00,10/11/2024
25/11/2024,4179.7080,Closing Price,4225.0000,-0.59,4280.0000,4250.0000,4316.0000,4205.0000,1507334602,63684887,232235622,5487236,9081,,,1507771335,100.00,10/11/2024
24/11/2024,4204.4400,Closing Price,4250.0000,2.78,4125.0000,4135.0000,4257.0000,4125.0000,1507405863,64064749,57828743,1375378,2857,,,1507771335,100.00,10/11/2024
21/11/2024,4090.6728,Closing Price,4135.0000,1.67,4040.0000,4067.0000,4140.0000,4040.0000,1507588239,62338774,158957381,3864462,6253,,,1507771335,100.00,10/11/2024
20/11/2024,4023.4018,Closing Price,4067.0000,0.17,4063.0000,4060.0000,4134.0000,4043.0000,1507771335,61321060,145985150,3568506,7499,,,1507771335,100.00,10/11/2024
19/11/2024,4016.4768,Closing Price,4060.0000,-0.44,4095.0000,4078.0000,4097.0000,4018.0000,1507771335,61215516,202588693,4997307,7788,,,1507771335,100.00,10/11/2024
18/11/2024,4034.2838,Closing Price,4078.0000,-0.75,4085.0000,4109.0000,4109.0000,4024.0000,1507771335,61486915,223766922,5509997,6969,,,1507771335,100.00,10/11/2024
17/11/2024,4064.9515,Closing Price,4109.0000,2.06,4040.0000,4026.0000,4109.0000,4030.0000,1507771335,61954324,49512666,1214802,3250,,,1507771335,100.00,10/11/2024
14/11/2024,3982.8413,Closing Price,4026.0000,-0.76,4051.0000,4057.0000,4098.0000,4008.0000,1507771335,60702874,152953680,3779996,6371,,,1507771335,100.00,10/11/2024
13/11/2024,4013.5090,Closing Price,4057.0000,-0.29,4055.0000,4069.0000,4105.0000,4031.0000,1507771335,61170283,151829731,3735966,6894,,,1507771335,100.00,10/11/2024
